Orientation [°],Layer Height [mm],Nozzle Diameter [mm],Print Speed [mm/min],Avg Temperature [°C],Avg Filament Speed [mm/s],Avg Force [g],Modulus [MPa],Tensile Stress at Tensile Strength [MPa],Run,Sample,Notes,Filepath
0,0.1,0.8,2400,227.12,1.23,380.34,2357.46,39.03,1,2,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/1_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.09,1.23,387.20,1905.07,39.17,1,3,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/1_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.13,1.23,343.90,2581.31,39.00,1,4,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/1_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.19,1.24,252.13,2546.50,38.56,2,1,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/2_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.18,1.23,301.05,1912.91,38.62,2,2,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/2_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.15,1.23,294.16,2011.75,38.84,2,3,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/2_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.11,1.23,271.21,2196.39,38.96,2,4,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/2_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.23,1.24,332.40,2315.04,38.13,3,1,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/3_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.19,1.23,350.81,2125.44,38.14,3,2,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/3_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.13,1.23,331.79,2301.40,37.02,3,3,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/3_100_25_01_08_2400_0_J.csv
0,0.1,0.8,2400,227.16,1.23,299.60,2367.09,38.10,3,4,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_2400/3_100_25_01_08_2400_0_J.csv
0,0.1,0.8,3600,227.2,1.81,219.76,1864.11,39.03,1,1,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_3600/1_100_25_01_08_3600_0_J.csv
0,0.1,0.8,3600,227.1,1.79,283.86,1997.05,37.23,1,2,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_3600/1_100_25_01_08_3600_0_J.csv
0,0.1,0.8,3600,227.06,1.78,262.55,2532.20,37.49,1,3,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_3600/1_100_25_01_08_3600_0_J.csv
0,0.1,0.8,3600,227.03,1.63,210.42,1879.49,32.88,1,4,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_3600/1_100_25_01_08_3600_0_J.csv
0,0.1,0.8,3600,227.13,1.81,258.54,2463.73,39.15,2,1,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_3600/2_100_25_01_08_3600_0_J.csv
0,0.1,0.8,3600,227.12,1.80,242.55,2317.91,38.98,2,2,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_3600/2_100_25_01_08_3600_0_J.csv
0,0.1,0.8,3600,227.09,1.80,178.13,2642.67,39.05,2,3,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_3600/2_100_25_01_08_3600_0_J.csv
0,0.1,0.8,3600,227.11,1.80,186.59,2124.54,38.38,2,4,J,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_01_08_3600/2_100_25_01_08_3600_0_J.csv
0,0.2,0.3,1200,226.92,0.48,666.39,3106.77,36.76,1,1,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_1200/1_100_25_02_03_1200_0_M.csv
0,0.2,0.3,1200,226.88,0.49,612.78,3738.61,38.09,1,2,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_1200/1_100_25_02_03_1200_0_M.csv
0,0.2,0.3,1200,226.91,0.49,594.86,2776.99,38.36,1,3,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_1200/1_100_25_02_03_1200_0_M.csv
0,0.2,0.3,1200,226.84,0.49,612.49,2760.85,38.48,1,4,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_1200/1_100_25_02_03_1200_0_M.csv
0,0.2,0.3,1200,227.71,0.48,671.84,3746.81,35.42,2,1,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_1200/2_100_25_02_03_1200_0_JB.csv
0,0.2,0.3,1200,227.69,0.48,671.84,2297.63,36.98,2,2,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_1200/2_100_25_02_03_1200_0_JB.csv
0,0.2,0.3,1200,227.58,0.48,784.67,2320.88,38.13,2,3,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_1200/2_100_25_02_03_1200_0_JB.csv
0,0.2,0.3,1200,227.53,0.48,759.83,2314.32,38.68,2,4,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_1200/2_100_25_02_03_1200_0_JB.csv
0,0.2,0.3,2400,226.83,0.94,966.30,2502.66,37.40,1,1,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/1_100_25_02_03_2400_0_M.csv
0,0.2,0.3,2400,226.83,0.95,870.20,2225.37,36.98,1,2,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/1_100_25_02_03_2400_0_M.csv
0,0.2,0.3,2400,226.82,0.95,862.89,2418.95,37.46,1,3,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/1_100_25_02_03_2400_0_M.csv
0,0.2,0.3,2400,226.86,0.94,853.42,3276.90,37.85,1,4,M,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/1_100_25_02_03_2400_0_M.csv
0,0.2,0.3,2400,227.54,0.93,1018.15,2732.83,38.04,2,1,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/2_100_25_02_03_2400_0_JB.csv
0,0.2,0.3,2400,227.51,0.94,1059.99,2315.76,38.72,2,2,JB,C:/Users/gerardoamc/Downloads/Data Collection/0 degree orientation/0_4_3200_100_25_02_03_2400/2_100_25_02_03_2400_0_JB.csv
